ts,equity
2026-01-08T16:15:00+00:00,8000000.13
2026-01-08T16:20:00+00:00,8000000.13
2026-01-08T16:25:00+00:00,8000000.13
2026-01-08T16:30:00+00:00,8000000.13
2026-01-08T16:35:00+00:00,8000000.13
2026-01-08T16:40:00+00:00,8000000.13
2026-01-08T16:45:00+00:00,8000000.13
2026-01-08T16:50:00+00:00,8000000.13
2026-01-08T16:55:00+00:00,8000000.13
2026-01-08T17:00:00+00:00,8000000.13
2026-01-08T17:05:00+00:00,8000000.13
2026-01-08T17:10:00+00:00,8000000.13
2026-01-08T17:15:00+00:00,8000000.13
2026-01-08T17:20:00+00:00,8000000.13
2026-01-08T17:25:00+00:00,8000000.13
2026-01-08T17:30:00+00:00,8000000.13
2026-01-08T17:35:00+00:00,8000000.13
2026-01-08T17:40:00+00:00,8000000.13
2026-01-08T17:45:00+00:00,8000000.13
2026-01-08T17:50:00+00:00,8000000.13
2026-01-08T17:55:00+00:00,8000000.13
2026-01-08T18:00:00+00:00,8000000.13
2026-01-08T18:05:00+00:00,8000000.13
2026-01-08T18:10:00+00:00,8000000.13
2026-01-08T18:15:00+00:00,8000000.13
2026-01-08T18:20:00+00:00,8000000.13
2026-01-08T18:25:00+00:00,8000000.13
2026-01-08T18:30:00+00:00,8000000.13
2026-01-08T18:35:00+00:00,8000000.13
2026-01-08T18:40:00+00:00,8000000.13
2026-01-08T18:45:00+00:00,8000000.13
2026-01-08T18:50:00+00:00,8000000.13
2026-01-08T18:55:00+00:00,8000000.13
2026-01-08T19:00:00+00:00,8000000.13
2026-01-08T19:05:00+00:00,8000000.13
2026-01-08T19:10:00+00:00,8000000.13
2026-01-08T19:15:00+00:00,8000000.13
2026-01-08T19:20:00+00:00,8000000.13
2026-01-08T19:25:00+00:00,8000000.13
2026-01-08T19:30:00+00:00,8000000.13
2026-01-08T19:35:00+00:00,8000000.13
2026-01-08T19:40:00+00:00,8000000.13
2026-01-08T19:45:00+00:00,8000000.13
2026-01-08T19:50:00+00:00,8000000.13
2026-01-08T20:00:00+00:00,8000000.13
2026-01-08T20:05:00+00:00,8000000.13
2026-01-08T20:10:00+00:00,8000000.13
2026-01-08T20:15:00+00:00,8000000.13
2026-01-08T20:20:00+00:00,8000000.13
2026-01-08T20:25:00+00:00,8000000.13
2026-01-08T20:30:00+00:00,8000000.13
2026-01-08T20:35:00+00:00,8000000.13
2026-01-08T20:40:00+00:00,8000000.13
2026-01-08T20:45:00+00:00,8000000.13
2026-01-09T05:55:00+00:00,8000000.13
2026-01-09T06:00:00+00:00,8000000.13
2026-01-09T06:05:00+00:00,8000000.13
2026-01-09T06:10:00+00:00,8000000.13
2026-01-09T06:15:00+00:00,8000000.13
2026-01-09T06:20:00+00:00,8000000.13
2026-01-09T06:25:00+00:00,8000000.13
2026-01-09T06:30:00+00:00,8000000.13
2026-01-09T06:35:00+00:00,8000000.13
2026-01-09T06:40:00+00:00,8000000.13
2026-01-09T06:45:00+00:00,8000000.13
2026-01-09T06:50:00+00:00,8000000.13
2026-01-09T06:55:00+00:00,8000000.13
2026-01-09T07:00:00+00:00,8000000.13
2026-01-09T07:05:00+00:00,8000000.13
2026-01-09T07:10:00+00:00,8000000.13
2026-01-09T07:15:00+00:00,8000000.13
2026-01-09T07:20:00+00:00,8000000.13
2026-01-09T07:25:00+00:00,8000000.13
2026-01-09T07:30:00+00:00,8000000.13
2026-01-09T07:35:00+00:00,8000000.13
2026-01-09T07:40:00+00:00,8000000.13
2026-01-09T07:45:00+00:00,8000000.13
2026-01-09T07:50:00+00:00,8000000.13
2026-01-09T07:55:00+00:00,8000000.13
2026-01-09T08:00:00+00:00,8000000.13
2026-01-09T08:05:00+00:00,8000000.13
2026-01-09T08:10:00+00:00,8000000.13
2026-01-09T08:15:00+00:00,8000000.13
2026-01-09T08:20:00+00:00,8000000.13
2026-01-09T08:25:00+00:00,8000000.13
2026-01-09T08:30:00+00:00,8000000.13
2026-01-09T08:35:00+00:00,8000000.13
2026-01-09T08:40:00+00:00,8000000.13
2026-01-09T08:45:00+00:00,8000000.13
2026-01-09T08:50:00+00:00,8000000.13
2026-01-09T08:55:00+00:00,8000000.13
2026-01-09T09:00:00+00:00,8000000.13
2026-01-09T09:05:00+00:00,8000000.13
2026-01-09T09:10:00+00:00,8000000.05
2026-01-09T09:15:00+00:00,8000000.01
2026-01-09T09:20:00+00:00,7999999.88
2026-01-09T09:25:00+00:00,7999999.96
2026-01-09T09:30:00+00:00,7999999.77
2026-01-09T09:35:00+00:00,7999999.89
2026-01-09T09:40:00+00:00,7999999.93
2026-01-09T09:45:00+00:00,7999999.86
2026-01-09T09:50:00+00:00,8000000.03
2026-01-09T09:55:00+00:00,8000000.03
2026-01-09T10:00:00+00:00,8000000.03
2026-01-09T10:05:00+00:00,8000000.03
2026-01-09T10:10:00+00:00,8000000.03
2026-01-09T10:15:00+00:00,8000000.03
2026-01-09T10:20:00+00:00,8000000.03
2026-01-09T10:25:00+00:00,8000000.03
2026-01-09T10:30:00+00:00,8000000.03
2026-01-09T10:35:00+00:00,8000000.03
2026-01-09T10:40:00+00:00,8000000.03
2026-01-09T10:45:00+00:00,8000000.03
2026-01-09T10:50:00+00:00,8000000.03
2026-01-09T10:55:00+00:00,8000000.03
2026-01-09T11:05:00+00:00,8000000.03
2026-01-09T11:10:00+00:00,8000000.03
2026-01-09T11:15:00+00:00,8000000.03
2026-01-09T11:20:00+00:00,8000000.03
2026-01-09T11:25:00+00:00,8000000.03
2026-01-09T11:30:00+00:00,8000000.03
2026-01-09T11:35:00+00:00,8000000.03
2026-01-09T11:40:00+00:00,8000000.03
2026-01-09T11:45:00+00:00,8000000.03
2026-01-09T11:50:00+00:00,8000000.03
2026-01-09T11:55:00+00:00,8000000.03
2026-01-09T12:00:00+00:00,8000000.03
2026-01-09T12:05:00+00:00,8000000.03
2026-01-09T12:10:00+00:00,8000000.03
2026-01-09T12:15:00+00:00,8000000.03
2026-01-09T12:20:00+00:00,8000000.03
2026-01-09T12:25:00+00:00,8000000.03
2026-01-09T12:30:00+00:00,8000000.03
2026-01-09T12:35:00+00:00,8000000.03
2026-01-09T12:40:00+00:00,8000000.03
2026-01-09T12:45:00+00:00,8000000.03
2026-01-09T12:50:00+00:00,8000000.03
2026-01-09T12:55:00+00:00,8000000.03
2026-01-09T13:00:00+00:00,8000000.03
2026-01-09T13:05:00+00:00,8000000.03
2026-01-09T13:10:00+00:00,8000000.03
2026-01-09T13:15:00+00:00,8000000.03
2026-01-09T13:20:00+00:00,8000000.03
2026-01-09T13:25:00+00:00,8000000.03
2026-01-09T13:30:00+00:00,8000000.03
2026-01-09T13:35:00+00:00,8000000.03
2026-01-09T13:40:00+00:00,8000000.03
2026-01-09T13:45:00+00:00,8000000.03
2026-01-09T13:50:00+00:00,8000000.03
2026-01-09T13:55:00+00:00,8000000.03
2026-01-09T14:00:00+00:00,8000000.03
2026-01-09T14:05:00+00:00,8000000.03
2026-01-09T14:10:00+00:00,8000000.03
2026-01-09T14:15:00+00:00,8000000.03
2026-01-09T14:20:00+00:00,8000000.03
2026-01-09T14:25:00+00:00,8000000.03
2026-01-09T14:30:00+00:00,8000000.03
2026-01-09T14:35:00+00:00,8000000.03
2026-01-09T14:40:00+00:00,8000000.03
2026-01-09T14:45:00+00:00,8000000.03
